eas baseid,cnn,address,zipcode,longitude,latitude,assemdist,bartdist,congdist,nhood,prec_2010,prec_2012,supdist,tractce10,number,number suffix,street,type
393582,3644000,530 CAMPBELL AVE,94134,-122.40678621,37.71564849,17,8,12,Visitacion Valley,2006,7039,10,026402,530,,CAMPBELL,AVE
419273,12053000,9 SPRINGFIELD DR,94132,-122.4884186,37.7337979,19,8,14,Sunset/Parkside,2729,9724,7,033100,9,,SPRINGFIELD,DR
356965,9288101,1475 MONTEREY BLVD,94127,-122.46476005,37.73219344,19,8,14,West of Twin Peaks,2733,9728,7,030900,1475,,MONTEREY,BLVD
361643,4547000,41 CUMBERLAND ST,94110,-122.42443365,37.75886802,17,9,12,Mission,3834,7833,8,020700,41,,CUMBERLAND,ST
364696,7523000,535 JESSIE ST,94103,-122.40966881,37.78069439,17,9,12,South of Market,3625,7622,6,017601,535,,JESSIE,ST
367602,12541000,336 TEXAS ST,94107,-122.39581781,37.76208121,17,9,12,Potrero Hill,3002,7005,10,022702,336,,TEXAS,ST
367654,854000,1297 18TH ST,94107,-122.39523783,37.76253074,17,9,12,Potrero Hill,3002,7005,10,022702,1297,,18TH,ST
367675,9202000,317 MISSISSIPPI ST,94107,-122.39424497,37.76231316,17,9,12,Potrero Hill,3002,7005,10,022702,317,,MISSISSIPPI,ST
367828,9211000,456 MISSOURI ST,94107,-122.39664347,37.76052754,17,9,12,Potrero Hill,3005,7008,10,022702,456,,MISSOURI,ST
367895,2439000,442 ARKANSAS ST,94107,-122.39859037,37.76056246,17,9,12,Potrero Hill,3005,7008,10,022704,442,,ARKANSAS,ST
367896,2439000,444 ARKANSAS ST,94107,-122.39859037,37.76056246,17,9,12,Potrero Hill,3005,7008,10,022704,444,,ARKANSAS,ST
367927,13694000,560 WISCONSIN ST,94107,-122.39972351,37.76045933,17,9,12,Potrero Hill,3005,7008,10,022704,560,,WISCONSIN,ST
300312,4189000,4150 CLEMENT ST,94121,,,,,,,,,,,4150,,CLEMENT,ST
371859,6806000,1 HAWKINS LN,94124,-122.38368657,37.73441586,17,7,12,Bayview Hunters Point,3022,7023,10,023102,1,,HAWKINS,LN
371860,6806000,5 HAWKINS LN,94124,-122.38377225,37.73444889,17,7,12,Bayview Hunters Point,3022,7023,10,023102,5,,HAWKINS,LN
371865,6807000,33 HAWKINS LN,94124,-122.38396391,37.73485981,17,7,12,Bayview Hunters Point,3022,7023,10,023102,33,,HAWKINS,LN
